abscodi,direction,latitude,longitude
076,"Carrer DOS DE MAIG 288, 08025 Barcelona",41.4101244,2.1783577
302,"Carrer MAJOR 89, 08110 Barcelona",41.4835194,2.1867983
302,"Carrer MAJOR 25, 08110 Barcelona",41.485456,2.1880296
302,"Carrer JAUME I 26, 08110 Barcelona",41.481979,2.1887606
075,"Carrer MALLORCA 519, 08026 Barcelona",41.40853389999999,2.1818134
032,"Carrer SALVA 33, 08004 Barcelona",41.3732019,2.1659654
035,"Carrer CREU COBERTA 95, 08014 Barcelona",41.3751519,2.1433218
049,"Carrer GRAN DE GRACIA 237, 08012 Barcelona",41.4052862,2.1506455
046,"Carrer TEODORA LAMADRID 27, 08022 Barcelona",41.4066023,2.136901
024,"Gran Via CORTS CATALANES 527, 08011 Barcelona",41.3826445,2.1586273
036,"Carrer PANISSARS 13, 08028 Barcelona",41.3762747,2.1331402
020,"Carrer XUCLA 21, 08001 Barcelona",41.3835762,2.1697034
072,"Carrer MARIA AGUILO 125, 08005 Barcelona",41.4001111,2.2052034
033,"Carrer ELKANO 70, 08004 Barcelona",41.3739643,2.1609012
018,"Carrer AMPLE 25, 08002 Barcelona",41.3800278,2.1794799
035,"Carrer CONSELL DE CENT 22, 08014 Barcelona",41.376016,2.1449153
027,"Rambla CATALUNYA 66, 08007 Barcelona",41.391848,2.1633288
027,"Passeig SANT JOAN 117, 08037 Barcelona",41.4001546,2.1678005
054,"Rambla CARMEL 44, 08032 Barcelona",41.4252651,2.1576212
027,"Carrer BAILEN 113, 08009 Barcelona",41.3976466,2.1694634
048,"Carrer RAMON Y CAJAL 24, 08012 Barcelona",41.4024378,2.1586657
017,"Carrer SOMBRERERS 19, 08003 Barcelona",41.3840476,2.1818567
021,"Carrer COMTE BORRELL 68, 08015 Barcelona",41.3791556,2.1605474
017,"Carrer SANT PERE MES BAIX 17, 08003 Barcelona",41.3868016,2.1766532
027,"Carrer BRUC 64, 08009 Barcelona",41.3933219,2.1712937
030,"Gran Via CORTS CATALANES 669 bis, 08013 Barcelona",41.396097,2.176688
018,"Carrer DUC DE LA VICTORIA 10, 08002 Barcelona",41.3846048,2.1728289
028,"Carrer CASP 151, 08013 Barcelona",41.398665,2.1825045
326,"Carrer SANT ANTONI MARIA CLARET 181, 08041 Barcelona",41.4142202,2.1781859
028,"Gran Via CORTS CATALANES 688, 08010 Barcelona",41.3930619,2.1738039
036,"Carrer SANTS 5, 08014 Barcelona",41.3751772,2.1405746
027,"Carrer PAU CLARIS 111, 08009 Barcelona",41.3917894,2.1680212
018,"Carrer COMTAL 25, 08002 Barcelona",41.3867828,2.1739419
017,"Carrer SANT PERE MES BAIX 52, 08003 Barcelona",41.3877594,2.178185
073,"Carrer PERE IV 210, 08005 Barcelona",41.40371589999999,2.1987114
024,"Carrer CONSELL DE CENT 253, 08011 Barcelona",41.3867398,2.1597439
048,"Carrer VERDI 7, 08012 Barcelona",41.4030752,2.157524
024,"Gran Via CORTS CATALANES 571, 08011 Barcelona",41.3850761,2.1619002
045,"Carrer MAJOR DE SARRIA 70, 08017 Barcelona",41.3981162,2.1225845
067,"Carrer NAVAS DE TOLOSA 375, 08041 Barcelona",41.4189347,2.1818518
049,"Carrer VERDI 70, 08012 Barcelona",41.4051135,2.1557107
018,"Carrer PORTAFERRISSA 1, 08002 Barcelona",41.3833529,2.1719655
028,"Plaça URQUINAONA 8, 08010 Barcelona",41.3891092,2.1739544
017,"Avinguda MARQUES DE L'ARGENTERA 5, 08003 Barcelona",41.3839412,2.1840566
027,"Passeig SANT JOAN 101, 08037 Barcelona",41.3993869,2.1691056
048,"Carrer MONTMANY 7, 08012 Barcelona",41.4037486,2.1607079
020,"Carrer HOSPITAL 70, 08001 Barcelona",41.3801722,2.1692976
032,"Carrer ROSER 28, 08004 Barcelona",41.373506,2.1665626
076,"Carrer INDEPENDENCIA 345, 08026 Barcelona",41.4106084,2.179518
027,"Avinguda DIAGONAL 440, 08037 Barcelona",41.3971584,2.1609309
018,"Rambla RAMBLA 38, 08002 Barcelona",41.3790591,2.1753818
025,"Carrer ENRIC GRANADOS 155, 08008 Barcelona",41.3945018,2.1533287
025,"Rambla CATALUNYA 77, 08007 Barcelona",41.3916222,2.1624085
065,"Carrer SAGRERA 110, 08027 Barcelona",41.4241644,2.1911928
019,"Carrer NOU DE RAMBLA 75, 08001 Barcelona",41.3763357,2.1716392
044,"Carrer TRINQUET 8-10, 08034 Barcelona",41.395635,2.120913
036,"Carrer BASSEGODA 11, 08028 Barcelona",41.375058,2.1257234
076,"Passeig MARAGALL 20, 08026 Barcelona",41.4144256,2.1810549
046,"Avinguda REPUBLICA ARGENTINA 175, 08023 Barcelona",41.4114334,2.1425888
021,"Avinguda MISTRAL 66, 08015 Barcelona",41.3757871,2.153016
072,"Carrer PALLARS 328, 08005 Barcelona",41.40641979999999,2.2049503
047,"Carrer BAILEN 200, 08037 Barcelona",41.4017323,2.1644974
047,"Carrer NAPOLS 271, 08025 Barcelona",41.4027173,2.1693911
044,"Carrer VERGÓS 5, 08017 Barcelona",41.3996606,2.1313108
