,abscodi,direction,latitude,longitude
0,076,"Carrer DOS DE MAIG 288, 08025 Barcelona",41.72405,1.8175261
122,302,"Carrer MAJOR 89, 08110 Barcelona",41.4835208,2.1867812
123,302,"Carrer MAJOR 25, 08110 Barcelona",41.4854694,2.1880286
124,302,"Carrer JAUME I 26, 08110 Barcelona",41.3452115,2.0405665
248,075,"Carrer MALLORCA 519, 08026 Barcelona",41.4936096,2.1863173
249,032,"Carrer SALVA 33, 08004 Barcelona",,
250,035,"Carrer CREU COBERTA 95, 08014 Barcelona",41.3752392,2.1438519
251,049,"Carrer GRAN DE GRACIA 237, 08012 Barcelona",41.4053041,2.1507105
252,046,"Carrer TEODORA LAMADRID 27, 08022 Barcelona",,
253,024,"Gran Via CORTS CATALANES 527, 08011 Barcelona",41.398619,2.18006
254,036,"Carrer PANISSARS 13, 08028 Barcelona",41.567691,2.0909055
255,020,"Carrer XUCLA 21, 08001 Barcelona",41.3835968,2.1696695
256,072,"Carrer MARIA AGUILO 125, 08005 Barcelona",41.5354776,2.1046227
257,033,"Carrer ELKANO 70, 08004 Barcelona",,
258,018,"Carrer AMPLE 25, 08002 Barcelona",41.3800201,2.1795829
259,035,"Carrer CONSELL DE CENT 22, 08014 Barcelona",41.6874889,2.4848143
260,027,"Rambla CATALUNYA 66, 08007 Barcelona",41.3900858,2.1648249
261,027,"Passeig SANT JOAN 117, 08037 Barcelona",41.3999138,2.1687573
262,054,"Rambla CARMEL 44, 08032 Barcelona",41.4253291,2.1575799
263,027,"Carrer BAILEN 113, 08009 Barcelona",41.6030546,2.3012683
264,048,"Carrer RAMON Y CAJAL 24, 08012 Barcelona",41.5993922,2.2860218
265,017,"Carrer SOMBRERERS 19, 08003 Barcelona",,
266,021,"Carrer COMTE BORRELL 68, 08015 Barcelona",41.3467745,2.0411867
267,017,"Carrer SANT PERE MES BAIX 17, 08003 Barcelona",,
268,027,"Carrer BRUC 64, 08009 Barcelona",42.0969144,1.8390387
269,030,"Gran Via CORTS CATALANES 669 bis, 08013 Barcelona",41.398619,2.18006
270,018,"Carrer DUC DE LA VICTORIA 10, 08002 Barcelona",,
271,028,"Carrer CASP 151, 08013 Barcelona",,
272,326,"Carrer SANT ANTONI MARIA CLARET 181, 08041 Barcelona",41.5982715,2.2894702
273,028,"Gran Via CORTS CATALANES 688, 08010 Barcelona",41.398619,2.18006
274,036,"Carrer SANTS 5, 08014 Barcelona",41.460103149999995,2.2013537289572183
275,027,"Carrer PAU CLARIS 111, 08009 Barcelona",41.9137074,2.2301625
276,018,"Carrer COMTAL 25, 08002 Barcelona",41.3866909,2.1737568
277,017,"Carrer SANT PERE MES BAIX 52, 08003 Barcelona",,
278,073,"Carrer PERE IV 210, 08005 Barcelona",41.3261874,1.9362147
279,024,"Carrer CONSELL DE CENT 253, 08011 Barcelona",41.6874889,2.4848143
280,048,"Carrer VERDI 7, 08012 Barcelona",41.4541202,2.2159159
281,024,"Gran Via CORTS CATALANES 571, 08011 Barcelona",41.398619,2.18006
282,045,"Carrer MAJOR DE SARRIA 70, 08017 Barcelona",41.4004014,2.1209932
283,067,"Carrer NAVAS DE TOLOSA 375, 08041 Barcelona",41.5007921,2.0371009
284,049,"Carrer VERDI 70, 08012 Barcelona",41.4534807,2.2167992
285,018,"Carrer PORTAFERRISSA 1, 08002 Barcelona",,
286,028,"Plaça URQUINAONA 8, 08010 Barcelona",41.3887999,2.1732973
287,017,"Avinguda MARQUES DE L'ARGENTERA 5, 08003 Barcelona",41.3842359,2.1843645
288,027,"Passeig SANT JOAN 101, 08037 Barcelona",41.3999138,2.1687573
289,048,"Carrer MONTMANY 7, 08012 Barcelona",41.3408436,1.9380779
290,020,"Carrer HOSPITAL 70, 08001 Barcelona",41.6143717,2.2930851
291,032,"Carrer ROSER 28, 08004 Barcelona",41.6140586,2.6565459
292,076,"Carrer INDEPENDENCIA 345, 08026 Barcelona",41.4877858,2.1335713
293,027,"Avinguda DIAGONAL 440, 08037 Barcelona",41.397094,2.1608731
294,018,"Rambla RAMBLA 38, 08002 Barcelona",41.5399264,2.1124754
295,025,"Carrer ENRIC GRANADOS 155, 08008 Barcelona",41.3852114,1.9981774
296,025,"Rambla CATALUNYA 77, 08007 Barcelona",41.3900858,2.1648249
297,065,"Carrer SAGRERA 110, 08027 Barcelona",41.4977736,2.154396
298,019,"Carrer NOU DE RAMBLA 75, 08001 Barcelona",41.3764247,2.1715874
299,044,"Carrer TRINQUET 8-10, 08034 Barcelona",,
300,036,"Carrer BASSEGODA 11, 08028 Barcelona",,
301,076,"Passeig MARAGALL 20, 08026 Barcelona",41.4147607,2.1809627
302,046,"Avinguda REPUBLICA ARGENTINA 175, 08023 Barcelona",41.2658338,1.9573076
303,021,"Avinguda MISTRAL 66, 08015 Barcelona",41.4126124,2.1594734
304,072,"Carrer PALLARS 328, 08005 Barcelona",41.4064896,1.9547584
305,047,"Carrer BAILEN 200, 08037 Barcelona",41.6030546,2.3012683
306,047,"Carrer NAPOLS 271, 08025 Barcelona",,
307,044,"Carrer VERGÓS 5, 08017 Barcelona",41.9285564,2.2565158
309,027,"Carrer ROGER DE LLURIA 37, 08009 Barcelona",41.4840499,2.3161889
310,395,"Carrer PONS I GALLARZA 92, 08030 Barcelona",,
311,032,"Carrer BLASCO DE GARAY 10, 08004 Barcelona",,
312,043,"Carrer MUNTANER 476, 08006 Barcelona",,
313,045,"Plaça VALLVIDRERA 5, 08017 Barcelona",41.4150674,2.1074824
314,032,"Plaça SORTIDOR 7, 08004 Barcelona",41.3724681,2.1620812
315,042,"Carrer ALFONS XII 61, 08006 Barcelona",,
316,056,"Carrer FELIU I CODINA 14-18, 08031 Barcelona",,
317,019,"Rambla DEL RAVAL 14, 08001 Barcelona",41.3783535,2.1692541
318,027,"Carrer ROSSELLO 284, 08037 Barcelona",41.7320892,1.8287143
319,036,"Rambla BRASIL 14, 08028 Barcelona",,
320,048,"Carrer PLANETA 39, 08012 Barcelona",8.2830212,-75.6985766
321,033,"Carrer SANT FRUCTUOS 29, 08004 Barcelona",,
322,075,"Carrer NACIO 42, 08026 Barcelona",,
323,032,"Carrer POETA CABANYES 67, 08004 Barcelona",,
324,046,"Carrer BISBE SIVILLA 40, 08022 Barcelona",,
325,028,"Carrer ROGER DE LLURIA 17, 08010 Barcelona",41.4840499,2.3161889
326,042,"Carrer MUNTANER 356, 08021 Barcelona",,
327,017,"Carrer FONOLLAR 26, 08003 Barcelona",41.3265399,2.0538614
328,024,"Carrer PELAI 9, 08001 Barcelona",,
329,044,"Via AUGUSTA 276, 08017 Barcelona",41.3979316,2.1308773
330,018,"Carrer AVINYO 32, 08002 Barcelona",41.8254821,1.8956757
331,039,"Travessera DE LES CORTS 332, 08029 Barcelona",41.3890351,2.1391048
332,017,"Plaça DE LA LLANA 11, 08003 Barcelona",41.3852524,2.1794549
333,065,"Carrer SAGRERA 146, 08027 Barcelona",41.4977736,2.154396
334,031,"Carrer ROSSELLO 437, 08025 Barcelona",41.7320892,1.8287143
335,395,"Carrer GRAN DE SANT ANDREU 91, 08030 Barcelona",41.430256299999996,2.189464024515609
336,073,"Carrer PALLARS 231, 08005 Barcelona",41.4064896,1.9547584
337,050,"Avinguda REPUBLICA ARGENTINA 270, 08023 Barcelona",41.2658338,1.9573076
338,025,"Carrer MUNTANER 223, 08036 Barcelona",,
339,031,"Carrer CARTAGENA 267, 08025 Barcelona",41.3869457,1.9947452
340,028,"Carrer CASP 146 A, 08013 Barcelona",,
341,042,"Carrer MUNTANER 254, 08021 Barcelona",,
342,043,"Ronda GENERAL MITRE 230, 08006 Barcelona",,
343,071,"Carrer LLULL 102, 08005 Barcelona",,
344,038,"Avinguda DE MADRID 222, 08014 Barcelona",41.3815905,2.135489
345,023,"Carrer PARIS 111, 08029 Barcelona",41.4815483,2.1895314
346,016,"Carrer ANDREA DORIA 14, 08003 Barcelona",,
347,027,"Carrer CONSELL DE CENT 312, 08007 Barcelona",41.6874889,2.4848143
348,016,"Carrer MAQUINISTA 9, 08003 Barcelona",,
349,025,"Carrer ROSSELLO 215, 08008 Barcelona",41.7320892,1.8287143
350,021,"Carrer CALABRIA 61, 08015 Barcelona",,
351,075,"Carrer ROGENT 54, 08026 Barcelona",,
352,036,"Carrer DE SANTS 32-34, 08014 Barcelona",41.3753948,2.13572
353,036,"Carrer SAGUNT 83, 08014 Barcelona",,
354,072,"Carrer DOCTOR TRUETA 234, 08005 Barcelona",41.3992991,2.2046081
355,027,"Carrer ROGER DE LLURIA 123, 08037 Barcelona",41.4840499,2.3161889
356,048,"Travessera DE GRACIA 194, 08012 Barcelona",41.40293312589061,2.1604879957617724
357,047,"Carrer SANT ANTONI MARIA CLARET 40, 08025 Barcelona",41.5982715,2.2894702
358,056,"Baixada MERCAT 2, 08032 Barcelona",41.4300201,2.1605902
359,020,"Carrer HOSPITAL 42, 08001 Barcelona",41.6143717,2.2930851
360,018,"Carrer BANYS NOUS 14, 08002 Barcelona",,
