Carrer SALVA 33, 08004 Barcelona
Carrer TEODORA LAMADRID 27, 08022 Barcelona
Carrer ELKANO 70, 08004 Barcelona
Carrer SOMBRERERS 19, 08003 Barcelona
Carrer SANT PERE MES BAIX 17, 08003 Barcelona
Carrer DUC DE LA VICTORIA 10, 08002 Barcelona
Carrer CASP 151, 08013 Barcelona
Carrer SANT PERE MES BAIX 52, 08003 Barcelona
Carrer PORTAFERRISSA 1, 08002 Barcelona
Carrer TRINQUET 8-10, 08034 Barcelona
Carrer BASSEGODA 11, 08028 Barcelona
Carrer NAPOLS 271, 08025 Barcelona
Carrer PONS I GALLARZA 92, 08030 Barcelona
Carrer BLASCO DE GARAY 10, 08004 Barcelona
Carrer MUNTANER 476, 08006 Barcelona
Carrer ALFONS XII 61, 08006 Barcelona
Carrer FELIU I CODINA 14-18, 08031 Barcelona
Rambla BRASIL 14, 08028 Barcelona
Carrer SANT FRUCTUOS 29, 08004 Barcelona
Carrer NACIO 42, 08026 Barcelona
Carrer POETA CABANYES 67, 08004 Barcelona
Carrer BISBE SIVILLA 40, 08022 Barcelona
Carrer MUNTANER 356, 08021 Barcelona
Carrer PELAI 9, 08001 Barcelona
Carrer MUNTANER 223, 08036 Barcelona
Carrer CASP 146 A, 08013 Barcelona
Carrer MUNTANER 254, 08021 Barcelona
Ronda GENERAL MITRE 230, 08006 Barcelona
Carrer LLULL 102, 08005 Barcelona
Carrer ANDREA DORIA 14, 08003 Barcelona
Carrer MAQUINISTA 9, 08003 Barcelona
Carrer CALABRIA 61, 08015 Barcelona
Carrer ROGENT 54, 08026 Barcelona
Carrer SAGUNT 83, 08014 Barcelona
Carrer BANYS NOUS 14, 08002 Barcelona
Carrer FERRAN 7, 08002 Barcelona
Carrer CARDERS 3, 08003 Barcelona
Carrer PALOMAR 28, 08030 Barcelona
Passeig GARCIA FARIA 25, 08005 Barcelona
Carrer FULTON 18, 08031 Barcelona
Carrer SANT JOAN DE MALTA 43, 08018 Barcelona
Carrer CASP 68, 08010 Barcelona
Plaça SANT AGUSTI VELL 11, 08003 Barcelona
Carrer MUNTANER 393, 08021 Barcelona
Carrer LUIS ANTUNEZ 5, 08006 Barcelona
Carrer ARIBAU 179, 08036 Barcelona
Carrer BURGOS 68, 08014 Barcelona
Carrer COMTES DE BELL-LLOC 140, 08014 Barcelona
Carrer CLOT 114, 08018 Barcelona
Carrer ALCOLEA 73, 08014 Barcelona
