direction,latitude,longitude,abscodi
"Carrer CAMELIES 32, 08110 Barcelona",41.4626937,2.1692016,302
"Carrer MASIA 2, 08110 Barcelona",41.4697405,2.1841718,302
"Carrer TERRANOSTRA 37-39, 08110 Barcelona",41.482389,2.171259,302
"Carrer DE LA CONCA 10, 08110 Barcelona",41.4762711,2.1876885,302
"Carrer SANT ANTONI ABAT 1, 08001 Barcelona",41.37933,2.16583,019
"Carrer CERA 30, 08001 Barcelona",41.37856610000001,2.1656429,019
"Carrer UNIO 5, 08001 Barcelona",41.3797941,2.1737624,019
"Ronda SANT PAU 3, 08015 Barcelona",41.3753635,2.167148,021
"Carrer LLANÇA 11, 08015 Barcelona",41.3757099,2.1509314,021
"Avinguda MISTRAL 66, 08015 Barcelona",41.3757871,2.153016,021
"Carrer ALMAGRO 10, 08042 Barcelona",41.4423023,2.1738467,403
"Carrer ARTESANIA 64, 08042 Barcelona",41.4405521,2.1735971,403
"Carrer COLLSEROLA 21, 08035 Barcelona",41.41604299999999,2.1357601,046
"Passeig BONANOVA 43, 08022 Barcelona",41.404339,2.1300067,046
"Carrer GANDUXER 129, 08022 Barcelona",41.4030431,2.1311483,046
"Passeig MARAGALL 310, 08031 Barcelona",41.4274007,2.1692745,059
"Carrer VALL D'ORDESA 10, 08031 Barcelona",41.4311487,2.1662993,059
"Carrer CADI 23, 08031 Barcelona",41.4315562,2.1687026,059
"Avinguda PRINCEP D'ASTURIES 43-45, 08012 Barcelona",41.4045815,2.1500858,043
"Ronda GENERAL MITRE 230, 08006 Barcelona",41.4056511,2.1483721,043
"Carrer SARAGOSSA 42, 08006 Barcelona",41.4025968,2.1484349,043
"Torrent DE TAPIOLES 27, 08033 Barcelona",41.46346,2.18358,064
"Avinguda RASOS DE PEGUERA 129, 08033 Barcelona",41.4599043,2.1731364,064
"Avinguda RASOS DE PEGUERA 70, 08033 Barcelona",41.4599452,2.1761501,064
"Rambla ONZE DE SETEMBRE 15, 08030 Barcelona",41.4298236,2.1943096,065
"Carrer NAVAS DE TOLOSA 270, 08027 Barcelona",41.41481,2.18791,065
"Carrer MALLORCA 663, 08027 Barcelona",41.4147693,2.1902219,065
"Riera BLANCA 191-193, 08014 Barcelona",41.3680317,2.1317528,035
"Carrer BADAL 25, 08014 Barcelona",41.366546,2.134006,035
"Carrer PARCERISA 48, 08014 Barcelona",41.3658705,2.1358484,035
"Avinguda GAUDI 85, 08025 Barcelona",41.4106732,2.1741345,031
"Avinguda GAUDI 71, 08025 Barcelona",41.4099172,2.1741766,031
"Carrer PADILLA 156, 08013 Barcelona",41.4007801,2.1839925,028
"Ronda SANT PERE 15, 08010 Barcelona",41.3887405,2.1717569,028
