direction,latitude,longitude,abscodi,pickupDate
"Ronda SANT ANTONI 106, 08001 Barcelona",41.38517400000001,2.1641837,020,31-03-2021
"Rambla CANALETES 121, 08002 Barcelona",41.384856,2.1704856,020,31-03-2021
"Carrer HOSPITAL 14, 08001 Barcelona",41.381088,2.1725244,020,31-03-2021
"Carrer TALLERS 42, 08001 Barcelona",41.3848997,2.1678017,020,31-03-2021
"Carrer SANT ANTONI ABAT 1, 08001 Barcelona",41.37933,2.16583,019,28-03-2021
"Carrer CERA 30, 08001 Barcelona",41.37856610000001,2.1656429,019,28-03-2021
"Carrer UNIO 5, 08001 Barcelona",41.3797941,2.1737624,019,28-03-2021
"Rambla DEL RAVAL 2, 08001 Barcelona",41.3793777,2.1680542,019,28-03-2021
"Carrer CAMELIES 32, 08110 Barcelona",41.4626937,2.1692016,302,25-03-2021
"Carrer MASIA 2, 08110 Barcelona",41.4697405,2.1841718,302,25-03-2021
"Carrer TERRANOSTRA 37-39, 08110 Barcelona",41.482389,2.171259,302,25-03-2021
"Carrer LUIS SAGNIER 55, 08032 Barcelona",41.425245,2.1735902,326,26-03-2021
"Carrer AMILCAR 151, 08032 Barcelona",41.4242865,2.1727717,326,26-03-2021
"Carrer SANT ANTONI MARIA CLARET 181, 08041 Barcelona",41.4142202,2.1781859,326,26-03-2021
"Avinguda PRINCEP D'ASTURIES 43-45, 08012 Barcelona",41.4045815,2.1500858,043,25-03-2021
"Ronda GENERAL MITRE 230, 08006 Barcelona",41.4056511,2.1483721,043,25-03-2021
"Carrer SARAGOSSA 42, 08006 Barcelona",41.4025968,2.1484349,043,25-03-2021
"Carrer ALMAGRO 10, 08042 Barcelona",41.4423023,2.1738467,403,24-03-2021
"Carrer ARTESANIA 64, 08042 Barcelona",41.4405521,2.1735971,403,24-03-2021
"Carrer SANT RAMON DE PENYAFORT 3, 08019 Barcelona",41.4136298,2.2205127,074,27-03-2021
"Rambla PRIM 25, 08019 Barcelona",41.4120161,2.2176331,074,27-03-2021
"Carrer LLULL 385, 08019 Barcelona",41.4115236,2.2154089,074,27-03-2021
"Carrer PADILLA 156, 08013 Barcelona",41.4007801,2.1839925,028,27-03-2021
"Ronda SANT PERE 15, 08010 Barcelona",41.3887405,2.1717569,028,27-03-2021
"Carrer PAU CLARIS 83, 08010 Barcelona",41.3896851,2.1706781,028,27-03-2021
"Ronda SANT PAU 3, 08015 Barcelona",41.3753635,2.167148,021,25-03-2021
"Carrer LLANÇA 11, 08015 Barcelona",41.3757099,2.1509314,021,25-03-2021
"Avinguda MISTRAL 66, 08015 Barcelona",41.3757871,2.153016,021,25-03-2021
"Carrer JOAN GUELL 174, 08028 Barcelona",41.383975,2.1312341,039,26-03-2021
"Carrer GALILEU 250, 08028 Barcelona",41.3824942,2.1329748,039,26-03-2021
"Carrer VALLESPIR 190, 08014 Barcelona",41.384231,2.1339438,039,26-03-2021
"Carrer URGELL 241, 08036 Barcelona",41.3909263,2.1466496,023,26-03-2021
"Avinguda SARRIA 31, 08029 Barcelona",41.3900821,2.144756,023,26-03-2021
"Carrer PARIS 111, 08029 Barcelona",41.389651,2.147751,023,26-03-2021
"Carrer FELIP II 224, 08027 Barcelona",41.4277126,2.1783234,067,25-03-2021
"Passeig MARAGALL 170, 08027 Barcelona",41.4249725,2.176822,067,25-03-2021
"Carrer ACACIES 57, 08027 Barcelona",41.4258493,2.1780122,067,25-03-2021
"Carrer ANGLI 4 BIS, 08017 Barcelona",41.4031654,2.1231637,044,24-03-2021
"Carrer GANDUXER 5, 08021 Barcelona",41.39219200000001,2.138641,044,24-03-2021
"Riera BLANCA 191-193, 08014 Barcelona",41.3680317,2.1317528,035,24-03-2021
"Carrer BADAL 25, 08014 Barcelona",41.366546,2.134006,035,24-03-2021
"Avinguda MERIDIANA 361, 08016 Barcelona",41.428217,2.1841168,385,25-03-2021
"Carrer PARDO 17, 08016 Barcelona",41.4278398,2.1824295,385,25-03-2021
"Carrer MONTSERRAT DE CASANOVAS 14, 08032 Barcelona",41.4236768,2.1688109,054,24-03-2021
"Carrer ALT DE PEDRELL 58, 08032 Barcelona",41.4262147,2.1690457,054,24-03-2021
"Carrer ALBAREDA 6-8, 08004 Barcelona",41.37378289999999,2.1742113,032,25-03-2021
"Passeig MONTJUIC 36, 08004 Barcelona",41.37232950000001,2.1709142,032,25-03-2021
"Carrer BISBE CATALA 8, 08034 Barcelona",41.3953266,2.113863,041,24-03-2021
"Carrer GONZALEZ TABLAS 5, 08034 Barcelona",41.38506,2.10915,041,24-03-2021
"Carrer REINA CRISTINA 1, 08003 Barcelona",41.3813076,2.1829077,017,25-03-2021
